Date,Team,Acquired,Relinquised,injury,severity,score
2016-01-01,76ers,,Hollis Thompson,corneal abrasion in right eye ,DTD,1
2016-01-01,Mavericks,,Devin Harris,back spasms ,DTD,1
2016-01-01,Wizards,,DeJuan Blair,sore right knee ,DTD,1
2016-01-01,Hornets,,Spencer Hawes,sore lower back ,DTD,1
2016-01-02,Celtics,,Avery Bradley,bruised left hip ,DTD,1
2016-01-02,Celtics,,R.J. Hunter,left shoulder subluxation ,DTD,1
2016-01-02,Hornets,,Nicolas Batum,sprained toe on right foot ,DTD,1
2016-01-02,Hornets,Jeremy Lin,,returned to lineup,,0
2016-01-02,Nuggets,,Kostas Papanikolaou,sprained left ankle ,DTD,1
2016-01-02,Nuggets,Jusuf Nurkic,,returned to lineup,,0
2016-01-02,Pacers,Jordan Hill,,returned to lineup,,0
2016-01-02,Pelicans,,Tyreke Evans,right knee tendinitis ,DTD,1
2016-01-02,Rockets,,Donatas Motiejunas,sore back ,DTD,1
2016-01-02,Spurs,Tim Duncan,,returned to lineup,,0
2016-01-02,Suns,Jon Leuer,,returned to lineup,,0
2016-01-02,Warriors,,Brandon Rush,tightness in right hamstring ,DTD,1
2016-01-02,Warriors,,James Michael McAdoo / James McAdoo (Michael),sprained toe on left foot ,DTD,1
2016-01-02,Warriors,Stephen Curry,,returned to lineup,,0
2016-01-02,Wizards,,Drew Gooden,strained right calf ,DTD,1
2016-01-02,Warriors,,Harrison Barnes,sprained left ankle ,,0
2016-01-03,Heat,Justise Winslow,,returned to lineup,,0
2016-01-03,Nets,,Jarrett Jack,torn ACL in right knee ,out for season,10
2016-01-03,Nuggets,Kostas Papanikolaou,,returned to lineup,,0
2016-01-03,Raptors,,Anthony Bennett,sore lower back ,DTD,1
2016-01-04,76ers,Hollis Thompson,,returned to lineup,,0
2016-01-04,Cavaliers,,Joe Harris,right foot injury ,,0
2016-01-04,Grizzlies,,Mike Conley Jr.,tightness in lower back ,DTD,1
2016-01-04,Heat,,Hassan Whiteside,knee injury ,DTD,1
2016-01-04,Hornets,Spencer Hawes,,returned to lineup,,0
2016-01-04,Kings,,Omri Casspi,sore upper back ,DTD,1
2016-01-04,Magic,,Elfrid Payton,bruised left ankle ,DTD,1
2016-01-04,Pacers,,George Hill,food poisoning ,DTD,1
2016-01-04,Rockets,,Donatas Motiejunas,sore back ,DTD,1
2016-01-04,Rockets,,Ty Lawson,sprained left ankle ,DTD,1
2016-01-04,Thunder,,Kevin Durant,toe injury ,DTD,1
2016-01-04,Warriors,,James Michael McAdoo / James McAdoo (Michael),sprained toe on left foot ,DTD,1
2016-01-04,Warriors,Brandon Rush,,returned to lineup,,0
2016-01-04,Warriors,Festus Ezeli,,returned to lineup,,0
2016-01-05,Bulls,Derrick Rose,,returned to lineup,,0
2016-01-05,Kings,,Duje Dukan,leg injury ,,0
2016-01-05,Kings,,Rajon Rondo,back spasms ,DTD,1
2016-01-05,Kings,,Willie Cauley-Stein,lacerated right middle finger ,DTD,1
2016-01-05,Warriors,,James Michael McAdoo / James McAdoo (Michael),sprained toe on left foot ,DTD,1
2016-01-06,Celtics,R.J. Hunter,,returned to lineup,,0
2016-01-06,Grizzlies,,Mike Conley Jr.,sore left Achilles tendon ,DTD,1
2016-01-06,Mavericks,,Wesley Matthews / Wes Matthews Jr.,rest ,DTD,1
2016-01-06,Mavericks,,Zaur Pachulia / Zaza Pachulia,rest ,DTD,1
2016-01-06,Pacers,George Hill,,returned to lineup,,0
2016-01-06,Pelicans,Tyreke Evans,,returned to lineup,,0
2016-01-06,Raptors,,Anthony Bennett,back injury ,DTD,1
2016-01-06,Raptors,,DeMarre Carroll,arthroscopic surgery on right knee ,out indefinitely,8
2016-01-06,Wizards,DeJuan Blair,,returned to lineup,,0
2016-01-06,Wizards,Gary Neal,,returned to lineup,,0
2016-01-07,Jazz,,Rodney Hood,right ankle injury ,DTD,1
2016-01-07,Kings,Rajon Rondo,,returned to lineup,,0
2016-01-07,Rockets,,Dwight Howard,soreness/stiffness in lower back ,DTD,1
2016-01-07,Rockets,Ty Lawson,,returned to lineup,,0
2016-01-08,Bucks,,Miles Plumlee,sore left knee ,DTD,1
2016-01-08,Bucks,,Tyler Ennis,illness ,DTD,1
2016-01-08,Grizzlies,,Courtney Lee,bruised left hip ,DTD,1
2016-01-08,Lakers,,D'Angelo Russell,sprained right ankle ,DTD,1
2016-01-08,Mavericks,Zaur Pachulia / Zaza Pachulia,,returned to lineup,,0
2016-01-08,Pelicans,,Anthony Davis,bruised back ,DTD,1
2016-01-08,Wizards,Drew Gooden,,returned to lineup,,0
2016-01-08,Grizzlies,,Jarell Martin,bone bruise in left foot ,DTD,1
2016-01-09,Hawks,,Jeff Teague,ankle injury ,DTD,1
2016-01-09,Hawks,,Thabo Sefolosha,sore right wrist ,DTD,1
2016-01-09,Heat,,Tyler Johnson,sore shoulder ,DTD,1
2016-01-09,Kings,,James Anderson,strained left hamstring ,DTD,1
2016-01-09,Kings,Willie Cauley-Stein,,returned to lineup,,0
2016-01-09,Lakers,,Brandon Bass,corneal abrasion in right eye ,DTD,1
2016-01-09,Nuggets,,Jameer Nelson,strained hip flexor ,DTD,1
2016-01-09,Pistons,,Marcus Morris,left knee tendinitis ,DTD,1
2016-01-09,Wizards,,Nene / Nene Hilario / Maybyner Hilario,strained right triceps ,DTD,1
2016-01-10,Bucks,,O.J. Mayo,sore left hamstring ,DTD,1
2016-01-10,Bucks,Miles Plumlee,,returned to lineup,,0
2016-01-10,Bucks,Tyler Ennis,,returned to lineup,,0
2016-01-10,Hornets,Nicolas Batum,,returned to lineup,,0
2016-01-10,Jazz,Rodney Hood,,returned to lineup,,0
2016-01-10,Lakers,,Kobe Bryant,strained right Achilles ,DTD,1
2016-01-10,Rockets,Dwight Howard,,returned to lineup,,0
